Average across indicators in percent,,,,,,,,,,,,,,,,,,
Data Point,Data for at least two years since 2015,,,,,,,,,,,,,,,,,
Nature,All,,,,,,,,,,,,,,,,,
Analysis Type,Compare countries across all goals,,,,,,,,,,,,,,,,,
Visualization Type,Country-goal matrix,,,,,,,,,,,,,,,,,
Country,World (total) by SDG regions,,,,,,,,,,,,,,,,,
Legend,NA - Not Applicable,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
GeoAreaCode,GeoAreaName,Goal 1,Goal 2,Goal 3,Goal 4,Goal 5,Goal 6,Goal 7,Goal 8,Goal 9,Goal 10,Goal 11,Goal 12,Goal 13,Goal 14,Goal 15,Goal 16,Goal 17
148,Chad,21.666666666666664 %,54.285714285714285 %,67.3076923076923 %,37.71428571428571 %,4.166666666666666 %,75.89285714285714 %,100 %,37.5 %,37.5 %,48.33333333333333 %,11.11111111111111 %,30.909090909090907 %,0 %,0 %,57.38095238095238 %,20.833333333333336 %,66.0493827160494 %
152,Chile,67.38095238095238 %,58.03571428571429 %,68.07692307692308 %,44.523809523809526 %,33.33333333333333 %,75.44642857142858 %,100 %,83.33333333333334 %,85.9375 %,74.40476190476191 %,37.5 %,54.090909090909086 %,20.999999999999996 %,74.70588235294117 %,78.09523809523809 %,43.333333333333336 %,60.95679012345679 %
156,China,50.5952380952381 %,44.910714285714285 %,66.7948717948718 %,34.904761904761905 %,5.555555555555555 %,76.11607142857143 %,100 %,44.097222222222214 %,76.5625 %,52.08333333333333 %,8.88888888888889 %,54.39393939393939 %,11.000000000000002 %,34.705882352941174 %,59.04761904761905 %,23.88888888888889 %,75.9567901234568 %
344,"China, Hong Kong Special Administrative Region",20 %,11.160714285714285 %,5.384615384615384 %,44.666666666666664 %,13.88888888888889 %,27.82738095238095 %,90 %,52.083333333333336 %,67.1875 %,27.857142857142858 %,0 %,41.59090909090909 %,0 %,13.529411764705884 %,45.55555555555556 %,14.351851851851851 %,48.33333333333333 %
446,"China, Macao Special Administrative Region",18.809523809523814 %,6.25 %,5.384615384615384 %,44.666666666666664 %,11.11111111111111 %,27.82738095238095 %,70 %,47.91666666666667 %,46.875 %,32.5 %,0 %,30.909090909090907 %,0 %,10 %,35.13888888888889 %,13.888888888888888 %,49.16666666666668 %
162,Christmas Island,0 %,0 %,0 %,0 %,0 %,6.802721088435374 %,0 %,1.3888888888888888 %,0 %,11.11111111111111 %,5.555555555555555 %,1.515151515151515 %,0 %,11.176470588235295 %,22.63888888888889 %,0 %,0 %
166,Cocos (Keeling) Islands,0 %,0 %,0 %,0 %,0 %,6.122448979591836 %,0 %,0 %,0 %,11.11111111111111 %,5.555555555555555 %,0 %,0 %,11.176470588235295 %,18.47222222222222 %,0 %,0 %
170,Colombia,58.452380952380956 %,68.03571428571429 %,67.6923076923077 %,67.28571428571428 %,41.66666666666667 %,71.42857142857143 %,100 %,72.91666666666666 %,82.8125 %,72.08333333333333 %,58.333333333333336 %,58.484848484848484 %,21.66666666666667 %,74.70588235294117 %,61.42857142857142 %,47.82407407407407 %,77.0679012345679 %
174,Comoros,17.48299319727891 %,46.36904761904762 %,56.41025641025641 %,15.666666666666668 %,5.555555555555555 %,51.9345238095238 %,100 %,41.66666666666667 %,31.25 %,40.833333333333336 %,18.80952380952381 %,30 %,9.333333333333332 %,24.117647058823525 %,51.42857142857142 %,15.972222222222223 %,68.76543209876543 %
178,Congo,12.142857142857144 %,50.535714285714285 %,60.89743589743589 %,18.523809523809526 %,9.722222222222223 %,66.22023809523809 %,100 %,45.83333333333333 %,48.4375 %,35.833333333333336 %,11.11111111111111 %,30.909090909090907 %,0 %,44.117647058823536 %,50.71428571428571 %,18.055555555555554 %,73.91975308641975 %
